,link,Notebook neve,Raktáron,Ár,Régi Ár,Akciós Ár,Processzor leírás,Operációs rendszer,Memória,Háttértár,Grafikus vezérlő,Kijelző,Képfrissítés,Fényerő,LAN típus,Wi-Fi,Bluetooth,HDMI normál,USB 3.1,USB3.1 Type-C,Thunderbolt támogatás,Lighting csatlakozó,Optikai meghajtó,Billentyűzet,Audio leírás,Akkumulátor leírás,Méret,Súly,Garancia,Webkamera,USB 2.0,USB 3.0,Kártya olvasó,Extrák,További extrák,USB3.0 Type-C,Displayport mini,Érintő kijelző,HSDPA,VGA
0,https://www.notebook.hu/asus-rog-strix-g15-g512li-g512li-hn094-283082,"
Asus ROG Strix G15 G512LI (G512LI-HN094) fekete
",Raktáron,349 900 Ft,,,"Intel® Core™ i5-10300H Processor (8M Cache, up to 4.50 GHz)",Operációs rendszer nélkül,8GB DDR4 2933MHz RAM,512GB M.2 PCIe SSD,NVIDIA® GeForce™ GTX 1650Ti 4GB GDDR6,"15.6"" FullHD (1920 x 1080) matt WVA LCD (144Hz)",144 Hz,250 nit,1000Mbps,802.11 ax,v 5.1,1 db,3 db,1 db,Nem,Nem,USB (vásárolható),"Világítás, Nincs numpad, Magyar kiosztású","2 x 1.5W hangszóró W/O Smart AMP technológia, Array Mikrofon",3 cellás 48Whr beépített,360.00x275.00x25.80 mm,2.30 kg,36 hónap,,,,,,,,,,,
1,https://www.notebook.hu/msi-gf65-thin-10ue-9s7-16w212-025,"
MSI GF65 Thin 10UE (9S7-16W212-025) Fekete
",Raktáron,,Régi ár: 469 900 Ft,449 900 Ft,"Intel® Core™ i5-10200H Processor (8M Cache, up to 4.10)",FreeDos,16GB (2x8) DDR4 3200MHz RAM,512 GB NVMe PCIe Gen3x4 SSD,NVIDIA® GeForce™ RTX 3060 6GB GDDR6,"15.6"" FullHD (1920 x 1080) matt IPS LCD",144 Hz,,1000Mbps,802.11 ax,v 5.1,1 db,2 db,2 db,Nem,Nem,USB (vásárolható),"Világítás, Nincs numpad, Magyar kiosztású",1 db Mikrofon bemenet/Fejhallgató kimenet Combo Jack,3 cellás 51Whr beépített,359.00x254.00x21.70 mm,1.86 kg,36 hónap,HD type (30fps@720p),,,,,,,,,,
2,https://www.notebook.hu/msi-gf63-thin-10scsr-15-6-fhd-144hz-intel-core-i5-10300h-8gb-512gb-ssd-gtx-1650-4-ti-max-q-dos-black-292320,"
MSI GF63 Thin 10SCSR (9S7-16R412-1017HU) Fekete
",Raktáron,,Régi ár: 349 900 Ft,309 900 Ft,"Intel® Core™ i5-10300H Processor (8M Cache, up to 4.50 GHz)",FreeDos,8GB DDR4 2666MHz RAM,512 GB NVMe PCIe SSD,NVIDIA® GeForce™ GTX 1650Ti (Max-Q) 4GB GDDR6,"15.6"" FullHD (1920 x 1080) matt IPS-level LCD (144 Hz)",144 Hz,,1000Mbps,802.11 ax,v 5,1 db,3 db,1 db,Nem,Nem,USB (vásárolható),"Világítás, Nincs numpad, Magyar kiosztású","2x 2W Hangszóró, 1 db Mikrofon bemenet, 1 db Fejhallgató kimenet Audio Jack",3 cellás 51Whr beépített,359.00x254.00x21.70 mm,1.86 kg,36 hónap,Beépített HD Webkamera (30fps@720p),,,,,,,,,,
3,https://www.notebook.hu/dell-g5-5500-g5500fi5ua1-285495,"
Dell G5 5500 (G5500FI5UA1) Fekete
",Raktáron,,Régi ár: 369 900 Ft,309 900 Ft,"Intel® Core™ i5-10300H Processor (8M Cache, up to 4.50 GHz)",Ubuntu (Linux),8GB (2x4) DDR4 2933MHz RAM,512GB M.2 PCIe SSD,NVIDIA® GeForce™ GTX 1650Ti 4GB GDDR6,"15.6"" FullHD (1920 x 1080) matt WVA LCD",60 Hz,250 nit,1000Mbps,802.11 ax,v 5.1,1 db,,1 db,Nem,Nem,USB (vásárolható),"Világítás, Magyar kiosztású",Realtek ALC3254 Nahimic 3D Audio technológia (2db 2W hangszóró) + dual tömbmikrofon,4 cellás 68Whr beépített,364.46x254.00x28.18 mm,2.55 kg,36 hónap,HD Webkamera (beépített),2 db,1 db,SD,Ujjlenyomat olvasó,,,,,,
4,https://www.notebook.hu/asus-vivobook-15-m509da-m509da-br988,"
Asus VivoBook 15 M509DA (M509DA-BR988) Szürke
",Raktáron,179 900 Ft,,,"AMD® Ryzen™ 3-3250U Quad-core 2.6 GHz Mobile APU (4M Cache, up to 3.5 GHz)",Operációs rendszer nélkül,4GB DDR4 2666MHz RAM,256 GB M.2 NVMe™ PCIe® 3.0 SSD,AMD Radeon™ Graphics,"15.6"" HD (1366 x 768) matt LCD",,200 nit,,802.11 ac,v 4.1,1 db,1 db,1 db,Nem,Nem,USB (vásárolható),Magyar kiosztású,"Audio by ICEpower®, SonicMaster (Close), Beépített hangszóró és mikrofon",2 cellás 32Whr beépített,360.00x235.00x22.90 mm,1.90 kg,24 hónap,Beépített VGA Webkamera,,2 db,microSD,TPM chip,,,,,,
5,https://www.notebook.hu/asus-rog-strix-g512li-g512li-al041,"
Asus ROG Strix G15 G512LI (G512LI-AL041) Fekete
",Raktáron,349 900 Ft,,,"Intel® Core™ i5-10300H Processor (8M Cache, up to 4.50 GHz)",Operációs rendszer nélkül,8GB DDR4 2933MHz RAM,512 GB M.2 NVMe™ PCIe® 3.0 SSD,NVIDIA® GeForce™ GTX 1650Ti 4GB GDDR6,"15.6"" FullHD (1920 x 1080) matt IPS LCD (144 Hz)",144 Hz,250 nit,1000Mbps,802.11 ax,v 5.1,1 db,3 db,1 db,Nem,Nem,USB (vásárolható),"Világítás, Nincs numpad, Magyar kiosztású","2 x 1.5W hangszóró W/O Smart AMP technológia, Array Mikrofon",3 cellás 48Whr beépített,360.00x275.00x25.80 mm,2.30 kg,36 hónap,,,,,,NumberPad támogatás,,,,,
6,https://www.notebook.hu/asus-rog-zephyrus-g14-ga401ii-ga401iu-he207-290923,"
Asus ROG Zephyrus G14 GA401II (GA401II-HE207) Szürke
",Raktáron,,Régi ár: 449 900 Ft,409 900 Ft,"AMD® Ryzen™ 7-4800HS 8-magos 2.9 GHz Mobile APU (8M Cache, up to 4.2 GHz)",Operációs rendszer nélkül,8GB DDR4 3200MHz RAM,512GB M.2 PCIe SSD,NVIDIA® GeForce™ GTX 1650Ti 4GB GDDR6,"14"" FullHD (1920 x 1080) matt WVA LCD (120Hz)",120 Hz,300 nit,,802.11 ax,v 5,1 db,,2 db,Nem,Nem,USB (vásárolható),"Világítás, Nincs numpad, Magyar kiosztású","2 db 2,5 W-os hangszóró Okos erősítő technológiával;  2 db 0,7 W tweeterrel, Array mikrofonnal; Dolby Atmos technológiával",4 cellás 76Whr beépített,324.00x220.00x19.90 mm,1.60 kg,36 hónap,Nincs,,2 db,,VR Ready,,,,,,
7,https://www.notebook.hu/asus-rog-zephyrus-g14-ga401iu-ga401iu-he212-290925,"
Asus ROG Zephyrus G14 GA401IU (GA401IU-HE212) Szürke
",Raktáron,,Régi ár: 529 900 Ft,479 900 Ft,"AMD® Ryzen™ 9-4900HS 8-magos 3.0 GHz Mobile APU (8M Cache, up to 4.3 GHz)",Operációs rendszer nélkül,8GB DDR4 3200MHz RAM,512GB M.2 PCIe SSD,NVIDIA® GeForce™ GTX 1660Ti 6GB GDDR6 (Max-Q Design),"14"" FullHD (1920 x 1080) matt WVA LCD (120Hz)",120 Hz,300 nit,,802.11 ax,v 5,1 db,,2 db,Nem,Nem,USB (vásárolható),"Világítás, Nincs numpad, Magyar kiosztású","2 db 2,5 W-os hangszóró Okos erősítő technológiával;  2 db 0,7 W tweeterrel, Array mikrofonnal; Dolby Atmos technológiával",4 cellás 76Whr beépített,324.00x220.00x19.90 mm,1.60 kg,36 hónap,Nincs,,2 db,,VR Ready,,,,,,
8,https://www.notebook.hu/asus-zenbook-14-ux431fl-an014t-an014t,"
Asus ZenBook 14 UX431F (UX431FL-AN014T) Utópiakék/Ezüst
",Raktáron,299 900 Ft,,,"Intel® Core™ i5-8265U Processor (6M Cache, up to 3.90 GHz)",Microsoft Windows 10 Home,8GB LPDDR3 2133MHz RAM,256GB M.2 NVMe™ PCIe® 3.0 SSD,NVIDIA® GeForce™ MX250 2GB GDDR5,"14"" FullHD (1920 x 1080) fényes Wide View LED",60 Hz,250 nit,,802.11 ac,v 5,1 db,,1 db,Nem,Nem,USB (vásárolható),"Világítás, Nincs numpad, Magyar kiosztású","Négy hangszórós, Harman Kardon által tanúsított hangrendszer; ASUS SonicMaster sztereó audio rendszer surround hanggal; intelligens erősítővel a maximális hangteljesítményért Array mikrofon Cortana hangfelismerési támogatással",2 cellás 47Whr beépített,323.00x211.00x15.90 mm,1.45 kg,36 hónap,HD Webkamera (beépített),1 db,1 db,"SD, SDHX, SDXC",TPM chip,NumberPad,,,,,
9,https://www.notebook.hu/msi-gp66-leopard-10uh-9s7-154222-034,"
MSI GP66 Leopard 10UG (9S7-154222-034) Fekete
",Raktáron,,Régi ár: 919 900 Ft,899 900 Ft,"Intel® Core™ i7-10750H Processor (12M Cache, up to 5.00 GHz)",FreeDos,16GB (2x8) DDR4 3200MHz RAM,512 GB NVMe PCIe Gen3x4 SSD,NVIDIA® GeForce™ RTX 3080 8GB GDDR6,"15.6"" FullHD (1920 x 1080) matt IPS LCD",144 Hz,,1000Mbps,802.11 ax,v 5,1 db,3 db,1 db,Nem,Nem,USB (vásárolható),"Világítás, Nincs numpad, Magyar kiosztású","1 db 3,5 Audio Jack",65Whr beépített,358.00x267.00x23.40 mm,2.38 kg,36 hónap,IR HD type (30fps@720p),,,,VR Ready,,,,,,
10,https://www.notebook.hu/asus-vivobook-15-m509da-m509da-br1421,"
Asus VivoBook 15 M509DA (M509DA-BR1421) Ezüst
",Raktáron,199 900 Ft,,,"AMD® Ryzen™ 3-3250U Dual-core 2.6 GHz Mobile APU (4M Cache, up to 3.5 GHz)",Operációs rendszer nélkül,8GB (2x4) DDR4 2666MHz RAM,256 GB M.2 NVMe™ PCIe® 3.0 SSD,AMD Radeon™ Graphics,"15.6"" HD (1366 x 768) matt LCD",,200 nit,,802.11 ac,v 4.1,1 db,1 db,1 db,Nem,Nem,USB (vásárolható),Magyar kiosztású,"Audio by ICEpower®, SonicMaster (Close), Beépített hangszóró és mikrofon, 1 db 3,5 mm Combo Audio Jack",2 cellás 32Whr beépített,360.00x235.00x22.90 mm,1.90 kg,24 hónap,Beépített VGA Webkamera,,2 db,microSD,TPM chip,,,,,,
11,https://www.notebook.hu/dell-g3-3500-g3500fi5ua1-281378,"
Dell G3 3500 (G3500FI5UA1) Fekete
",Raktáron,,Régi ár: 349 900 Ft,329 900 Ft,"Intel® Core™ i5-10300H Processor (8M Cache, up to 4.50 GHz)",Ubuntu (Linux),8GB DDR4 2933MHz RAM (2x4GB),512GB M.2 PCIe SSD,NVIDIA® GeForce™ GTX 1650Ti 4GB GDDR6,"15.6"" FullHD (1920 x 1080) matt WVA LCD",60 Hz,300 nit,1000Mbps,802.11 ac,v 5,1 db,,1 db,Nem,Nem,USB (vásárolható),"Világítás, Magyar kiosztású",Realtek ALC3254 Nahimic 3D Audio technológia (2db 2W hangszóró) + dual tömbmikrofon,3 cellás 51Whr beépített,364.46x254.00x21.60 mm,2.56 kg,36 hónap,HD Webkamera (beépített),2 db,1 db,SD,,,,,,,
12,https://www.notebook.hu/lenovo-ideapad-gaming-3-15imh05-81y4008bhv,"
Lenovo IdeaPad Gaming 3 15IMH05 (81Y4008BHV) Fekete
",Raktáron,,Régi ár: 379 900 Ft,349 900 Ft,"Intel® Core™ i7-10750H Processor (12M Cache, up to 5.00 GHz)",Operációs rendszer nélkül,8GB DDR4 2933MHz RAM,256GB M.2 2242 PCIe NVMe 3.0x4 SSD,NVIDIA® GeForce™ GTX 1650Ti 4GB GDDR6,"15.6"" FullHD (1920 x 1080) matt IPS LCD",60 Hz,250 nit,1000Mbps,802.11 ax,v 5,1 db,2 db,1 db,Nem,Nem,USB (vásárolható),"Világítás, Magyar kiosztású","HD Audio, 1.5W x 2 Dolby Audio sztereó hangszórók, Headset / mikrofon combo jack",45Whr beépített,359.00x249.60x24.90 mm,2.20 kg,36 hónap,"Beépített HD 720p Webkamera adatvédelmi fedéllel, integrált dual array mikrofon",,,,TPM chip,,,,,,
13,https://www.notebook.hu/dell-inspiron-15-3501-3501fi3ua1-284783,"
Dell Inspiron 15 3501 (3501FI3UA1) fekete
",Raktáron,,Régi ár: 219 900 Ft,199 900 Ft,"Intel® Core™ i3-1005G1 Processor (4M Cache, Up to 3.40)",Ubuntu (Linux),4GB DDR4 2666MHz RAM,256GB M.2 PCIe SSD,Intel® UHD Graphics,"15.6"" FullHD (1920 x 1080) matt WVA LCD",60 Hz,,1000Mbps,802.11 ac,v 5,1 db,,,Nem,Nem,USB (vásárolható),"Világítás, Magyar kiosztású","Realtek ALC3204, Beépített hangszórók (2db 2W)",3 cellás 42Whr beépített,363.96x249.00x19.90 mm,,36 hónap,RGB HD Webkamera,,3 db,SD,,,,,,,
14,https://www.notebook.hu/asus-tuf-gaming-a15-fa506ii-fa506ii-hn455t,"
Asus TUF Gaming A15 FA506II (FA506II-HN455T) Erődszürke
",Raktáron,359 900 Ft,,,"AMD® Ryzen™ 5-4600H 6-magos 3.0 GHz Mobile APU (8M Cache, up to 4.0 GHz)",Microsoft Windows 10 Home,8GB DDR4 3200MHz RAM,512GB M.2 NVMe™ PCIe® 3.0 SSD,NVIDIA® GeForce™ GTX 1650Ti 4GB GDDR6,"15.6"" FullHD (1920 x 1080) WideView matt IPS LCD (144Hz)",144 Hz,250 nit,1000Mbps,802.11 ac,v 5,1 db,,1 db,Nem,Nem,USB (vásárolható),"Világítás, Magyar kiosztású","Beépített hangszórók (2db 2W), DTS:X® Ultra, Beépített tömbmikrofon, 1 db 3,5 mm Combo Audio Jack",3 cellás 48Whr beépített,359.00x256.00x24.90 mm,2.30 kg,36 hónap,HD Webkamera (beépített),1 db,2 db,,,,,,,,
15,https://www.notebook.hu/asus-rog-strix-g15-g512li-g512li-hn285-300742,"
Asus ROG Strix G15 G512LI (G512LI-HN285) Fekete
",Raktáron,389 900 Ft,,,"Intel® Core™ i7-10870H Processor (16M Cache, up to 5.00)",Operációs rendszer nélkül,8GB DDR4 3200MHz RAM,512 GB M.2 PCIe SSD,NVIDIA® GeForce™ GTX 1650Ti 4GB GDDR6,"15.6"" FullHD (1920 x 1080) matt WVA LCD",144 Hz,250 nit,1000Mbps,802.11 ax,v 5.1,1 db,,1 db,Nem,Nem,USB (vásárolható),"Világítás, Magyar kiosztású","2 x 1.5W hangszóró W/O Smart AMP technológia, Array Mikrofon",3 cellás 48Whr beépített,360.00x275.00x25.80 mm,2.30 kg,36 hónap,,,3 db,,VR Ready,,,,,,
16,https://www.notebook.hu/lenovo-ideapad-legion5-15imh05-82au005fhc,"
Lenovo Legion 5 15IMH05 (82AU005FHV) Fekete
",Raktáron,,Régi ár: 399 900 Ft,359 900 Ft,"Intel® Core™ i7-10750H Processor (12M Cache, up to 5.00 GHz)",Operációs rendszer nélkül,8GB DDR4 2933MHz RAM,256GB M.2 2280 PCIe NVMe SSD,NVIDIA® GeForce™ GTX 1650 4GB GDDR6,"15.6"" FullHD (1920 x 1080) matt IPS LCD (120Hz)",120 Hz,250 nit,1000Mbps,802.11 ax,v 5,1 db,,,Nem,Nem,USB (vásárolható),"Világítás, Magyar kiosztású","HD Audio, Realtek ALC3287 codec / beépített Herman hangszórók (2W x 2), Dolby® Atmos + Dual Tömbmikrofon",80Whr beépített,363.06x259.61x24.00 mm,2.30 kg,36 hónap,HD Webkamera (beépített),,4 db,,TPM chip,"Egyszínű, fehér billentyűzet háttérvilágítás",1 db,,,,
17,https://www.notebook.hu/lenovo-ideapad-y540-15irh-pg0-81sy003ghv-276978,"
LENOVO Legion Y540-15IRH-PG0 (81SY003GHV) Fekete
",Raktáron,,Régi ár: 449 900 Ft,399 900 Ft,"Intel® Core™ i7-9750H Processor (12M Cache, up to 4.50 GHz)",Microsoft Windows 10 Home,8GB DDR4 2666MHz RAM,128GB M.2 PCIe SSD + 1TB HDD 7200rpm,NVIDIA® GeForce™ GTX 1650 4GB GDDR5,"15.6"" FullHD (1920 x 1080) matt IPS LCD",60 Hz,300 nit,1000Mbps,802.11 ac,v 4.2,1 db,3 db,1 db,Nem,Nem,USB (vásárolható),"Világítás, Magyar kiosztású","HD Audio, Realtek ALC3287 codec / Harman hangszórók (2W x 2), Dolby® Audio™ Premium + dual Dual Tömbmikrofon",57Whr beépített,360.00x267.00x25.20 mm,2.30 kg,36 hónap,HD Webkamera (beépített),,,,TPM chip,,,1 db,,,
18,https://www.notebook.hu/msi-gf63-thin-10scsr-9s7-16r412-1283-290443,"
MSI GF63 Thin 10SCSR (9S7-16R412-1283) Fekete
",Raktáron,,Régi ár: 319 900 Ft,309 900 Ft,"Intel® Core™ i5-10300H Processor (8M Cache, up to 4.50 GHz)",FreeDos,8GB DDR4 2666MHz RAM (1x8GB),512 GB M.2 PCIe SSD,NVIDIA® GeForce™ GTX 1650Ti (Max-Q) 4GB GDDR6,"15.6"" FullHD (1920 x 1080) matt IPS-level LCD (144 Hz)",144 Hz,,1000Mbps,802.11 ax,v 5,1 db,3 db,1 db,Nem,Nem,USB (vásárolható),"Világítás, Nincs numpad, Magyar kiosztású","2x 2W Hangszóró, 1 db Mikrofon bemenet, 1 db Fejhallgató kimenet Audio Jack",3 cellás 51Whr beépített,359.00x254.00x21.70 mm,1.86 kg,36 hónap,Beépített HD Webkamera (30fps@720p),,,,,,,,,,
19,https://www.notebook.hu/huawei-matebook-13-wrtb-wah9c-276959,"
Huawei MateBook 13 (53010XUP) Galaktikus szürke
",Raktáron,,Régi ár: 359 900 Ft,319 900 Ft,"Intel® Core™ i5-10210U Processor (6M Cache, up to 4.10)",Microsoft Windows 10 Home,8GB LPDDR3 2133MHz RAM,512GB M.2 PCIe SSD,Intel® UHD Graphics,"13"" QHD (2160 x 1440) fényes FullView IPS LCD",60 Hz,300 nit,,"802.11 a, ac, b, g, n",v 5,,,,Nem,Nem,USB (vásárolható),"Világítás, Nincs numpad, Magyar kiosztású","Beépített hangszórók + digitális dual mikrofon, 3,5 mm headset és mikrofon 2-az 1-ben jack csatlakozó",41.7Whr beépített,286.00x211.00x14.90 mm,1.30 kg,36 hónap,1 MP Előlapi Beépített Webkamera,,,,Ujjlenyomat olvasó,"Fényérzékelő, Hall szenzor",2 db,,,,
20,https://www.notebook.hu/huawei-matebook-x-pro-2021-53011wqr-302937,"
Huawei MateBook X Pro 2021 (53011WQR) szürke
",Raktáron,649 900 Ft,,,"Intel® Core™ i7-1165G7 Processor (12M Cache, up to 4.70 GHz, with IPU)",Microsoft Windows 10 Home,16GB LPDDR4X 4266MHz RAM,512GB M.2 PCIe SSD,Intel® Iris® Xe Graphics,"13.9"" 3000 x 2000 fényes Multi-Touch LTPS LCD",60 Hz,450 nit,,802.11 ax,v 5.1,,,2 db,Nem,Nem,USB (vásárolható),"Világítás, Nincs numpad, Angol kiosztású",Beépített hangszóró (4db) + Microphone (2db),56Whr beépített,304.00x217.00x14.60 mm,1.33 kg,36 hónap,HD Webkamera (beépített),,1 db,,Ujjlenyomat olvasó,,,,Multi-Touch,,
21,https://www.notebook.hu/lenovo-ideapad-flex-5-15iil05-81x3002chv,"
LENOVO IdeaPad Flex 5 15IIL05 (81X3002CHV) Grafit szürke
",Raktáron,269 900 Ft,,,"Intel® Core™ i3-1005G1 Processor (4M Cache, Up to 3.40)",Microsoft Windows 10 Home,8GB DDR4 3200MHz RAM,256 GB M.2 2242 PCIe NVMe SSD,Intel® UHD Graphics,"15.6"" FullHD (1920 x 1080) fényes Multi-Touch IPS LCD",60 Hz,250 nit,,802.11 ax,v 5,1 db,,,Nem,Nem,USB (vásárolható),"Világítás, Magyar kiosztású","HD Audio, Dolby Atmos speaker system, (2db 2W  beépített hangszóró)  + dual tömbmikrofon","52,5Whr beépített",357.60x237.90x20.90 mm,1.80 kg,36 hónap,HD Webkamera (beépített),,2 db,"MMC, SD, SDHX, SDXC",,Gyorsulásmérő,1 db,,Multi-Touch,,
22,https://www.notebook.hu/lenovo-legion-5-15imh05-82au005nhv-275683,"
Lenovo Legion 5 15IMH05 (82AU005NHV) Fekete
",Raktáron,,Régi ár: 419 900 Ft,339 900 Ft,"Intel® Core™ i5-10300H Processor (8M Cache, up to 4.50 GHz)",Operációs rendszer nélkül,8GB DDR4 2933MHz RAM,256GB M.2 PCIe SSD,NVIDIA® GeForce™ GTX 1650Ti 4GB GDDR6,"15.6"" FullHD (1920 x 1080) matt IPS LCD",144 Hz,300 nit,1000Mbps,802.11 ac,v 5,1 db,,,Nem,Nem,USB (vásárolható),"Világítás, Magyar kiosztású","HD Audio, Realtek ALC3287 codec / beépített Herman hangszórók (2W x 2), Dolby® Atmos + Dual Tömbmikrofon",80Whr beépített,363.06x259.61x24.00 mm,2.30 kg,36 hónap,HD Webkamera (beépített),,4 db,,TPM chip,4 zónás RGB billentyűzet háttérvilágítás,1 db,,,,
23,https://www.notebook.hu/huawei-matebook-d14-53012bmy-302935,"
Huawei Matebook D14 (53012BMY) ezüst
",Raktáron,309 900 Ft,,,"Intel® Core™ i5-10210U Processor (6M Cache, up to 4.10)",Microsoft Windows 10 Home,16GB DDR4 2400MHz RAM,512GB M.2 PCIe SSD,Intel® UHD Graphics,"14"" FullHD (1920 x 1080) matt IPS LCD",60 Hz,250 nit,,802.11 ac,v 5,1 db,,,Nem,Nem,USB (vásárolható),"Világítás, Nincs numpad, Angol kiosztású",Beépített hangszórók (2db) + Dual tömbmikrofon,4 cellás 56Whr beépített,322.50x214.80x15.90 mm,1.38 kg,36 hónap,HD Webkamera (beépített),1 db,1 db,,Ujjlenyomat olvasó,"Prémium fém kivitelezés, Hall-szenzor",1 db,,,,
24,https://www.notebook.hu/lenovo-thinkpad-e14-gen2-20ta0027hv-287695,"
LENOVO ThinkPad E14 Gen2 (20TA0027HV) Fekete
",Raktáron,369 900 Ft,,,"Intel® Core™  i5-1135G7 Processor (8M Cache, up to 4.20 GHz)",Operációs rendszer nélkül,8GB DDR4 3200MHz RAM,256GB M.2 PCIe SSD,Intel® Iris® Xe Graphics,"14"" FullHD (1920 x 1080) matt IPS LCD",60 Hz,250 nit,1000Mbps,802.11 ax,v 5,1 db,,1 db,Nem,Nem,USB (vásárolható),"Világítás, Nincs numpad, Magyar kiosztású","HD Audio, Realtek® ALC3287 codec, Dolby® Audio™, HARMAN-minősített beépített hangszórók (2db 2W)",45Whr beépített,324.00x220.00x19.90 mm,1.60 kg,36 hónap,HD Webkamera (beépített),1 db,1 db,,"Ujjlenyomat olvasó, TPM chip",,,,,,
25,https://www.notebook.hu/asus-x515-x515ma-br231t-298380,"
ASUS X515 (X515MA-BR231T) szürke
",Raktáron,,Régi ár: 189 900 Ft,179 900 Ft,"Intel® Celeron® Processor N4020 (4M Cache, up to 2.80 GHz)",Microsoft Windows 10 Home,4GB DDR4 2400MHz RAM,1TB HDD 5400 rpm,Intel® UHD Graphics 600,"15.6"" HD (1366 x 768) matt LCD",60 Hz,200 nit,,802.11 ac,v 4.1,1 db,,,Nem,Nem,USB (vásárolható),Magyar kiosztású,"SonicMaster Audio by ICEpower®, Beépített hangszórók + beépített mikrofon",2 cellás 37Whr beépített,360.20x234.90x19.90 mm,1.80 kg,24 hónap,VGA Webkamera (beépített),2 db,1 db,microSD,,,1 db,,,,
26,https://www.notebook.hu/asus-rog-strix-g17-g712lws-g712lws-ev001-283084,"
Asus ROG Strix G17 G712LWS (G712LWS-EV001) fekete
",Raktáron,,Régi ár: 679 900 Ft,629 900 Ft,"Intel® Core™ i7-10750H Processor (12M Cache, up to 5.00 GHz)",Operációs rendszer nélkül,8GB DDR4 3200MHz RAM,512GB M.2 PCIe SSD,NVIDIA® GeForce™ RTX 2070 Super 8GB GDDR6,"17.3"" FullHD (1920 x 1080) fényes WVA LCD (144Hz)",144 Hz,300 nit,1000Mbps,802.11 ax,v 5.1,1 db,3 db,1 db,Nem,Nem,USB (vásárolható),"Világítás, Magyar kiosztású","2 x 4,2W hangszóró W/O Smart AMP technológia, Array Mikrofon",4 cellás 66Whr beépített,399.00x293.00x2.65 mm,2.83 kg,36 hónap,,,,,VR Ready,4 zónás RGB billentyűzet háttérvilágítás,,,,,
27,https://www.notebook.hu/lg-gram-14-notebook-14z90p-g-ar52h-300522,"
LG gram 14 Notebook (14Z90P-G.AR52H) Obszidián fekete
",Raktáron,469 900 Ft,,,"Intel® Core™  i5-1135G7 Processor (8M Cache, up to 4.20 GHz)",Microsoft Windows 10 Home,8GB LPDDR4 4266MHz RAM,256GB M.2 PCIe SSD,Intel® Iris® Xe Graphics,"14"" WUXGA (1920 x 1200) IPS LCD",60 Hz,,,802.11 ax,v 5.1,1 db,2 db,2 db,Igen,Nem,USB (vásárolható),"Világítás, Nincs numpad, Magyar kiosztású",,72Whr beépített,313.40x215.20x16.80 mm,0.99 kg,36 hónap,,,,microSD,"Ujjlenyomat olvasó, TPM chip",,,,,,
28,https://www.notebook.hu/dell-vostro-15-3500-n3001vn3500emea01-2201-ubu-294315,"
DELL Vostro 15 3500 (N3001VN3500EMEA01_2201_UBU) fekete
",Raktáron,229 900 Ft,,,"Intel® Core™ i3-1115G4 Processor (6M Cache, up to 4.10 GHz)",Ubuntu (Linux),8GB DDR4 3200MHz RAM,256GB M.2 PCIe SSD,Intel® UHD Graphics for 11th Gen Intel® Processors,"15.6"" FullHD (1920 x 1080) matt WVA LCD",60 Hz,,1000Mbps,802.11 ac,v 5,1 db,,,Nem,Nem,USB (vásárolható),"Világítás, Magyar kiosztású","Beépített hangszórók (2db 2W), Realtek ALC3204",3 cellás 42Whr beépített,363.96x249.00x19.00 mm,1.78 kg,36 hónap,HD Webkamera (beépített),1 db,2 db,"SD, SDHX, SDXC",TPM chip,,,,,,
29,https://www.notebook.hu/lenovo-legion-5-15arh05-82b5002jhv-275595,"
Lenovo Legion 5 15ARH05 (82B5002JHV) Fekete
",Raktáron,,Régi ár: 449 900 Ft,399 900 Ft,"AMD® Ryzen™ 7-4800H 8-magos 2.9 GHz Mobile APU (8M Cache, up to 4.2 GHz)",Microsoft Windows 10 Home,8GB DDR4 3200MHz RAM,256GB M.2 PCIe SSD,NVIDIA® GeForce™ GTX 1650Ti 4GB GDDR6,"15.6"" FullHD (1920 x 1080) matt WVA LCD (144Hz), Dolby Vision",144 Hz,300 nit,1000Mbps,802.11 ax,v 5,1 db,,,Nem,Nem,USB (vásárolható),"Világítás, Magyar kiosztású","HD Audio, Realtek ALC3287 codec / beépített Herman hangszórók (2W x 2), Dolby® Atmos + Dual Tömbmikrofon",60Whr beépített,363.06x259.61x24.00 mm,2.30 kg,36 hónap,HD Webkamera (beépített),,4 db,,TPM chip,"Egyszínű, fehér billentyűzet háttérvilágítás, Lenovo Legion M300 RGB Gaming Egér",1 db,,,,
